index,LST_Celsius,year,lat,lon,impervious,Pv,NDWI,elev,GEOID,Median_Household_Income,High_School_Diploma_25plus,Unemployment,Median_Housing_Value,Median_Gross_Rent,Renter_Occupied_Housing_Units,Total_Population,Median_Age,Per_Capita_Income,Families_Below_Poverty,year_centered,climate_category_Arid (Cold),climate_category_Arid (Hot),climate_category_Mediterranean,climate_category_Semi-Arid (Cold),urban_rural_classification_U,urban_rural_classification_nan,polygon_id,HVI_score,HVI_level
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,
